timestamp,violations,snapshot
2026-04-14 21:28:27.640,1,violations\snap_20260414_212827.jpg
2026-04-14 21:29:01.419,1,violations\snap_20260414_212901.jpg
2026-04-14 21:29:05.982,1,violations\snap_20260414_212905.jpg
2026-04-14 21:29:08.093,1,violations\snap_20260414_212908.jpg
2026-04-14 21:29:10.104,1,violations\snap_20260414_212910.jpg
2026-04-30 13:53:23.937,1,violations\snap_20260430_135323.jpg
2026-04-30 13:53:26.063,1,violations\snap_20260430_135326.jpg
2026-04-30 13:53:28.219,1,violations\snap_20260430_135328.jpg
2026-05-01 15:11:43.207,1,violations\snap_20260501_151143.jpg
2026-05-01 15:11:45.468,1,violations\snap_20260501_151145.jpg
2026-05-01 15:20:34.053,1,violations\snap_20260501_152034.jpg
2026-05-01 15:20:36.384,1,violations\snap_20260501_152036.jpg
2026-05-01 15:20:38.456,1,violations\snap_20260501_152038.jpg
2026-05-01 15:23:22.273,1,violations\snap_20260501_152322.jpg
2026-05-01 15:23:24.288,1,violations\snap_20260501_152324.jpg
2026-05-01 15:23:26.832,1,violations\snap_20260501_152326.jpg
2026-05-01 15:23:48.546,1,violations\snap_20260501_152348.jpg
2026-05-01 15:23:50.550,1,violations\snap_20260501_152350.jpg
2026-05-01 15:23:53.364,1,violations\snap_20260501_152353.jpg
2026-05-01 15:24:19.055,1,violations\snap_20260501_152419.jpg
2026-05-01 15:24:21.366,1,violations\snap_20260501_152421.jpg
2026-05-01 15:24:23.449,1,violations\snap_20260501_152423.jpg
2026-05-01 15:28:46.885,1,violations\snap_20260501_152846.jpg
2026-05-01 15:28:48.898,1,violations\snap_20260501_152848.jpg
2026-05-01 15:28:51.422,1,violations\snap_20260501_152851.jpg
2026-05-01 15:32:40.096,1,violations\snap_20260501_153240.jpg
2026-05-01 15:32:42.103,1,violations\snap_20260501_153242.jpg
2026-05-01 15:32:44.271,1,violations\snap_20260501_153244.jpg
2026-05-01 15:32:48.779,1,violations\snap_20260501_153248.jpg
2026-05-01 15:32:53.598,1,violations\snap_20260501_153253.jpg
2026-05-01 15:32:55.599,1,violations\snap_20260501_153255.jpg
2026-05-01 15:34:10.748,1,violations\snap_20260501_153410.jpg
2026-05-01 15:34:12.753,1,violations\snap_20260501_153412.jpg
2026-05-01 15:34:15.442,1,violations\snap_20260501_153415.jpg
2026-05-01 15:34:17.660,1,violations\snap_20260501_153417.jpg
2026-05-01 15:34:33.191,1,violations\snap_20260501_153433.jpg
2026-05-01 15:34:35.211,1,violations\snap_20260501_153435.jpg
2026-05-01 15:34:37.237,1,violations\snap_20260501_153437.jpg
2026-05-01 15:34:39.697,1,violations\snap_20260501_153439.jpg
